11795	100
10576976	10588224	2	12	35	2
10641017	10641098	1	4	20	1
10717302	10720411	2	1	1	2
10717302	10725744	2	1	1	2
10717302	10728810	2	1	5	2
10717309	10722152	1	0	0	1
10717332	10719192	2	1	0	2
10717332	10719711	2	1	1	2
10717332	10725049	2	1	1	2
10717332	10727925	2	1	1	2
10718429	10722887	1	0	0	1
10718429	10723192	1	0	0	1
10718429	10723787	1	0	0	1
10718429	10724067	1	0	0	1
10718823	10719592	2	1	0	2
10719789	10728528	1	0	0	1
10720474	10723497	1	0	0	1
10720474	10723557	1	0	0	1
10720867	10729660	2	13	5	2
10721153	10723497	1	0	0	1
10721391	10729660	2	13	5	2
10722771	10727164	2	1	0	2
10723060	10727838	1	0	0	1
10723787	10724067	1	0	0	1
10724412	10724461	1	0	0	1
10725127	10728528	1	0	0	1
10727155	10728761	4	1	0	2
10747437	10772758	1	1	0	1
10747765	10756553	2	1	7	2
10761403	10772129	2	0	2	2
10844571	10847066	1	1	0	1
10868829	10869878	1	0	0	1
10931938	11132799	1	27	5	1
10932496	11429032	2	31	1	2
10939423	10940595	2	0	2	2
10940707	10941689	2	0	0	2
10941780	10944965	2	0	2	2
10945053	10947302	2	1	0	2
10947418	10949210	2	0	3	2
10947418	10959065	2	0	1	2
10949269	10950047	2	0	2	2
10950174	10959065	2	1	1	2
10959136	10961281	2	0	2	2
10960431	10961281	2	1	2	2
11032604	11033136	2	1	1	2
11032912	11268045	2	1	4	2
11039699	11268045	2	1	5	2
11060891	11268045	2	1	5	2
11066015	11067333	2	2	0	2
11066515	11067983	1	1	2	1
11124378	11124505	0	1	1	1
11133474	12375615	2	17	28	2
11133885	11334764	2	12	41	2
11134082	11591813	1	5	6	1
11134356	11156736	1	1	0	1
11135925	11152951	2	1	1	2
11139770	11155204	1	3	0	1
11153719	11292206	2	1	0	2
11154403	11468080	1	18	1	1
11154403	12043462	1	5	1	1
11154403	12634132	1	37	1	1
11154556	11257366	2	31	4	2
11211548	11211817	2	4	0	2
11211548	11213042	2	16	0	2
11211548	11213166	2	5	0	2
11211548	11213250	2	13	0	2
11211548	11214225	2	15	0	2
11211548	11214309	2	5	0	2
11211548	11214391	2	2	0	2
11211548	11214433	2	9	0	2
11211548	11214475	2	4	0	2
11211873	11215180	6	0	0	2
11212552	11214531	1	0	0	1
11212552	11215005	1	0	0	1
11213056	11213432	1	0	0	1
11213056	11214531	1	0	0	1
11213056	11215005	1	0	0	1
11214268	11214475	2	4	0	2
11214268	11214517	2	5	0	2
11214281	11214531	1	0	0	1
