chr22	10576977	10588225	2	2	0	0	1	45
chr22	10641018	10641099	1	1	0	1	0	37
chr22	10717303	10720412	2	2	0	1	0	24
chr22	10717303	10725745	2	2	0	1	0	27
chr22	10717303	10728811	2	2	0	1	0	39
chr22	10717310	10722153	1	1	0	1	0	21
chr22	10717333	10719193	2	2	0	1	0	20
chr22	10717333	10719712	2	2	0	0	1	22
chr22	10717333	10725050	2	2	0	0	1	22
chr22	10717333	10727926	2	2	0	0	1	22
chr22	10718430	10722888	1	1	0	0	1	18
chr22	10718430	10723193	1	1	0	0	1	18
chr22	10718430	10723788	1	1	0	0	1	18
chr22	10718430	10724068	1	1	0	0	1	18
chr22	10718824	10719593	2	2	0	0	1	30
chr22	10719790	10728529	1	1	0	0	1	26
chr22	10720475	10723498	1	1	0	0	1	20
chr22	10720475	10723558	1	1	0	1	0	35
chr22	10720868	10729661	2	2	0	0	1	44
chr22	10721154	10723498	1	1	0	0	1	20
chr22	10721392	10729661	2	2	0	0	1	44
chr22	10722772	10727165	2	2	0	1	0	25
chr22	10723061	10727839	1	1	0	1	0	19
chr22	10723788	10724068	1	1	0	0	1	18
chr22	10724413	10724462	1	1	0	1	0	33
chr22	10725128	10728529	1	1	0	0	1	26
chr22	10727156	10728762	2	4	0	1	0	19
chr22	10747438	10772759	1	1	0	1	0	38
chr22	10747766	10756554	2	2	0	0	1	13
chr22	10761404	10772130	2	2	0	1	0	28
chr22	10844572	10847067	1	1	0	0	1	43
chr22	10868830	10869879	1	1	0	1	0	47
chr22	10931939	11132800	1	1	0	0	6	43
chr22	10932497	11429033	2	2	0	0	28	50
chr22	10945054	10947303	2	2	1	1	0	30
chr22	10947419	10959066	2	2	0	1	1	45
chr22	10959137	10961282	2	2	1	3	0	41
chr22	10960432	10961282	2	2	0	6	0	44
chr22	11032605	11033137	2	2	0	0	1	27
chr22	11032913	11268046	2	2	0	0	5	26
chr22	11039700	11268046	2	2	0	0	5	26
chr22	11060892	11268046	2	2	0	0	5	26
chr22	11133475	12375616	2	2	0	0	4	50
chr22	11133886	11334765	2	2	0	0	5	38
chr22	11134083	11591814	1	1	0	0	12	47
chr22	11134357	11156737	1	1	0	0	1	22
chr22	11135926	11152952	2	2	0	0	4	45
